0,0,0,0,100,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,100,0
10,0.6,8.1,6.5,1.9,14.9,13.3,17.3,9.3,1.4,14.5,2.1,0
12.5,9.2,2.1,12.6,12.9,11,6.7,14.1,1.3,9.1,7.4,1,0
11.6,9.7,5.9,10.5,13.8,2,6.7,3.4,8.2,9.9,10.8,7.6,0
12.2,6.2,12.8,4.7,10.7,15,5.1,14.8,6,1.5,10,1,0
2.3,12.7,1.4,7.2,7.2,10.1,0.1,17.4,20.3,5.7,14.4,1.4,0
9.5,10.4,10.3,10.3,6.5,15.6,3.3,11.7,4.9,11.4,5.7,0.5,0
1.9,11.8,7.2,10.8,5.9,12.4,4.9,11.6,10.5,12.5,8.7,1.7,0
0.5,3,10,13.2,13.1,18.9,1.3,6.7,16.1,1,15.7,0.5,0
8.4,13,10.4,13,2.3,12.5,5.7,10.3,0.3,7.4,14,2.6,0
8.9,5.6,0.5,9.8,2.2,13.5,8,12.9,8.5,13.5,13.4,3.3,0
0.2,7.3,3.3,17.1,5.9,19.7,8.8,17.2,1.9,1.5,4,13.1,0
15.4,6.3,13.7,13.3,1.6,15.7,5.5,1,5.7,15.5,5.4,0.9,0
8.8,9,7.7,6,10.5,14.7,4.6,12.9,1,15.7,7.7,1.4,0
15,0.3,18.6,3.6,1.8,18.5,7.7,18.3,1,2.2,9,4.1,0
10.2,14,10.4,3.3,5.5,13.7,5.7,12.5,1.2,16.2,2.1,5.2,0
4.3,0.8,2.2,5.3,4.4,23.3,15.7,16.3,2.5,15.9,6.7,2.6,0
6.4,11.8,6.1,8,5.9,9.4,9.5,15.1,4.4,9.6,12.3,1.5,0
8.6,6,11.6,4.4,7,10.8,10,14.3,14.8,5.5,7,0.1,0
6.3,5.7,3.8,9.8,14.9,12.4,6.5,7.7,4,7.4,16.4,5.1,0
2.2,13,3.5,13.3,17.7,11.7,6.5,1.4,1,9.6,15.8,4.4,0
5.7,0.9,10.6,18.7,16.2,9.4,16.2,3.1,13.4,4,1.6,0.2,0
12,4.3,0.4,4.3,2.7,13.9,12.8,13.7,11.2,10,11.7,3.2,0
1.3,7,14.7,11.4,10.4,16,2.2,13.4,0.6,2.5,11.3,9.1,0
1.2,7.6,0.3,14.1,11.6,13,6.7,11.2,11.2,3.5,12.4,7.1,0
10.1,14.9,6.1,2.5,0.3,14,12.8,14.5,5.1,15.2,3.1,1.3,0
2.8,9.5,2,7.1,4.7,8.6,10.4,13.2,13.8,16,10.4,1.5,0
