100,0,0,0,0,0,0,0,0,0,0,0,1.379,1.508
0,100,0,0,0,0,0,0,0,0,0,0,0.413,0.632
0,0,100,0,0,0,0,0,0,0,0,0,0.204,0.318
0,0,0,100,0,0,0,0,0,0,0,0,0.052,0.093
0,0,0,0,100,0,0,0,0,0,0,0,0.004,0.055
0,0,0,0,0,0,100,0,0,0,0,0,0.232,0.27
0,0,0,0,0,0,0,100,0,0,0,0,0.013,0.035
0,0,0,0,0,0,0,0,100,0,0,0,0.124,0.32
0,0,0,0,0,0,0,0,0,100,0,0,0.069,0.252
0,0,0,0,0,0,0,0,0,0,100,0,0.705,0.771
0,0,0,0,0,0,0,0,0,0,0,100,0.008,0.051
4,26,0,25,5,1,4,12,4,0,8,11,0.08,0.197
34,5,6,2,2,6,11,0,7,0,7,20,0.639,0.705
15,16,4,10,10,7,4,16,9,1,3,5,0.02,0.067
13,4,26,4,9,6,3,10,6,8,5,6,0.084,0.13
5,2,14,9,4,3,2,3,5,11,3,39,1.333,1.28
6,5,1,2,19,10,6,2,23,2,0,24,0.89,0.967
12,44,4,0,5,9,4,6,2,0,13,1,0.032,0.133
11,9,4,0,2,17,5,2,23,3,1,23,0.419,0.485
5,27,2,3,29,3,7,8,2,3,1,10,0.152,0.268
19,3,2,1,0,24,5,20,18,3,0,5,0.036,0.068
3,1,8,3,19,19,11,21,5,2,1,7,0.031,0.061
12,1,17,17,5,11,1,8,5,3,8,12,0.028,0.054
2,10,4,5,27,22,1,16,3,1,8,1,0.06,0.279
12,3,7,0,17,1,26,11,6,9,7,1,0.126,0.313
6,11,0,0,0,20,21,3,3,8,22,6,0.041,0.151
0,20,2,3,22,12,0,12,13,10,6,0,0.037,0.074
10,7,10,30,8,5,1,19,5,2,3,0,0.007,0.026
4,19,0,10,2,8,10,10,2,5,22,8,0.026,0.092
11,7,3,5,4,10,1,3,2,16,23,15,0.094,0.179
1,1,1,0,5,31,12,7,4,5,11,22,0.031,0.068
9,0,4,9,3,0,0,6,12,13,23,21,0.761,1.017
2,0,0,11,1,7,28,24,16,1,8,2,0.022,0.195
3,9,4,16,8,14,5,5,1,7,9,19,0.044,0.175
0,2,11,2,0,0,9,14,0,6,37,19,1.366,1.168
4,7,2,2,12,1,3,6,1,13,37,12,0.381,0.44
14,3,1,3,8,11,2,15,1,23,1,18,0.073,0.158
1,4,11,1,3,2,4,6,27,23,8,10,0.16,0.211
5,13,2,6,19,6,13,0,7,14,0,15,0.353,0.353
22,11,10,3,4,6,3,28,0,1,8,4,0.065,0.308
7,1,6,8,9,31,4,10,1,1,1,21,0.037,0.179
2,2,0,13,5,5,10,14,25,0,22,2,0.022,0.112
3,3,9,7,28,9,3,13,0,6,19,0,0.01,0.051
1,0,13,7,11,0,2,11,37,4,5,9,0.087,0.124
9,9,2,4,25,13,18,5,2,7,6,0,0.027,0.082
0,4,31,8,0,1,26,2,9,13,2,4,0.11,0.155
25,1,3,17,2,0,9,0,14,5,11,13,0.18,0.242
11,0,10,6,8,0,20,17,5,3,5,15,0.242,0.473
4,9,1,23,7,1,2,3,35,9,4,2,0.02,0.141
0,0,36,4,1,12,7,3,12,4,13,8,0.073,0.158
6,28,11,0,1,6,2,20,9,0,6,11,0.078,0.146
10,5,6,15,0,1,6,3,10,4,19,21,0.392,0.453
5,16,10,17,2,2,2,12,9,7,8,10,0.056,0.12
9,8,9,1,0,6,18,9,25,6,6,3,0.063,0.108
0,22,16,0,23,1,6,9,0,2,12,9,0.433,0.445
3,4,12,2,2,9,27,10,7,23,1,0,0.098,0.331
0,1,16,1,14,16,23,5,17,1,6,0,0.07,0.206
19,2,4,7,7,25,0,12,12,4,6,2,0.023,0.091
0,2,2,0,7,22,8,20,1,23,5,10,0.02,0.074
7,5,12,12,8,2,9,1,2,17,17,8,0.088,0.129
12,14,6,14,19,10,9,1,10,1,2,2,0.023,0.058
6,2,12,8,5,6,6,27,4,3,19,2,0.018,0.037
1,3,5,2,0,1,5,7,31,25,7,13,0.216,0.283
3,13,11,9,2,20,28,7,1,0,2,4,0.077,0.294
25,5,2,0,14,4,13,2,4,4,24,3,0.186,0.39
11,10,16,16,0,14,11,1,9,7,0,5,0.031,0.125
17,3,4,0,2,15,9,8,6,26,7,3,0.032,0.081
11,6,4,4,3,24,14,4,1,6,12,11,0.036,0.097
0,27,7,10,1,17,1,3,7,9,2,16,0.034,0.099
12,0,12,0,24,1,10,1,16,3,6,15,0.86,0.7
8,7,1,2,2,7,4,15,9,0,38,7,0.082,0.119
5,0,16,0,1,3,0,1,5,38,26,5,0.19,0.428
2,0,7,0,3,8,24,3,46,1,0,6,0.119,0.268
43,7,6,0,18,8,2,0,4,4,3,5,0.313,0.445
8,17,5,1,13,3,15,0,3,1,16,18,0.775,0.697
5,0,42,10,6,0,0,3,1,0,11,22,0.406,0.458
20,12,6,10,1,1,7,6,5,1,3,28,0.881,0.91
6,5,2,6,7,17,16,5,6,5,12,13,0.055,0.137
0,1,2,1,1,2,4,24,46,3,3,13,0.131,0.151
7,7,17,10,8,12,21,5,3,2,5,3,0.074,0.289
0,3,8,14,5,23,7,4,1,16,13,6,0.019,0.147
4,13,0,10,2,1,2,29,12,1,0,26,0.4,0.643
20,0,6,1,3,19,2,8,2,14,20,5,0.022,0.088
0,0,1,11,5,7,5,6,15,1,35,14,0.079,0.153
0,6,9,0,5,1,11,12,11,38,7,0,0.071,0.122
27,2,1,9,21,0,9,2,11,7,10,1,0.114,0.171
14,16,11,6,9,3,2,10,13,5,9,2,0.068,0.096
7,19,6,18,19,6,0,7,0,8,0,10,0.086,0.347
3,17,4,20,1,5,6,0,2,14,16,12,0.078,0.265
5,2,1,34,19,9,0,0,1,16,10,3,0.016,0.092
7,13,8,7,5,3,3,11,29,10,3,1,0.039,0.097
25,4,7,1,9,5,1,31,0,2,0,15,0.072,0.177
6,17,4,4,3,9,32,1,4,12,8,0,0.05,0.109
14,7,7,13,11,9,2,0,0,25,3,9,0.039,0.091
4,33,4,7,5,0,18,6,5,7,7,4,0.149,0.203
100,0,0,0,0,0,0,0,0,0,0,0,1.875,1.387
