100,0,0,0,0,0,0,0,0,0,0,0,1.654,1.525,0.146
0,100,0,0,0,0,0,0,0,0,0,0,0.669,0.45,0.037
0,0,100,0,0,0,0,0,0,0,0,0,0.353,0.239,0.035
0,0,0,100,0,0,0,0,0,0,0,0,0.177,0.136,0.084
0,0,0,0,100,0,0,0,0,0,0,0,0.099,0.048,0.044
0,0,0,0,0,100,0,0,0,0,0,0,( + ),( + ),2.125
0,0,0,0,0,0,100,0,0,0,0,0,0.314,0.276,0.044
0,0,0,0,0,0,0,100,0,0,0,0,0.064,0.042,0.029
0,0,0,0,0,0,0,0,100,0,0,0,0.394,0.198,0.074
0,0,0,0,0,0,0,0,0,100,0,0,0.254,0.071,0.002
0,0,0,0,0,0,0,0,0,0,100,0,0.839,0.773,0.068
0,0,0,0,0,0,0,0,0,0,0,100,0.09,0.047,0.039
4,26,0,25,5,1,4,12,4,0,8,11,0.262,0.145,0.065
34,5,6,2,2,6,11,0,7,0,7,20,0.777,0.711,0.072
15,16,4,10,10,7,4,16,9,1,3,5,0.117,0.07,0.05
13,4,26,4,9,6,3,10,6,8,5,6,0.157,0.111,0.027
5,2,14,9,4,3,2,3,5,11,3,39,1.382,1.435,0.102
6,5,1,2,19,10,6,2,23,2,0,24,0.996,0.919,0.029
12,44,4,0,5,9,4,6,2,0,13,1,0.176,0.075,0.043
11,9,4,0,2,17,5,2,23,3,1,23,0.546,0.48,0.061
5,27,2,3,29,3,7,8,2,3,1,10,0.331,0.215,0.063
19,3,2,1,0,24,5,20,18,3,0,5,0.12,0.088,0.052
3,1,8,3,19,19,11,21,5,2,1,7,0.121,0.091,0.06
12,1,17,17,5,11,1,8,5,3,8,12,0.083,0.057,0.029
2,10,4,5,27,22,1,16,3,1,8,1,0.351,0.132,0.072
12,3,7,0,17,1,26,11,6,9,7,1,0.323,0.136,0.01
6,11,0,0,0,20,21,3,3,8,22,6,0.191,0.081,0.04
0,20,2,3,22,12,0,12,13,10,6,0,0.126,0.089,0.052
10,7,10,30,8,5,1,19,5,2,3,0,0.081,0.062,0.055
4,19,0,10,2,8,10,10,2,5,22,8,0.154,0.088,0.062
11,7,3,5,4,10,1,3,2,16,23,15,0.241,0.156,0.062
1,1,1,0,5,31,12,7,4,5,11,22,0.105,0.068,0.037
9,0,4,9,3,0,0,6,12,13,23,21,1.126,0.87,0.109
2,0,0,11,1,7,28,24,16,1,8,2,0.198,0.025,0.003
3,9,4,16,8,14,5,5,1,7,9,19,0.219,0.088,0.044
0,2,11,2,0,0,9,14,0,6,37,19,1.287,1.485,0.119
4,7,2,2,12,1,3,6,1,13,37,12,0.514,0.455,0.074
14,3,1,3,8,11,2,15,1,23,1,18,0.215,0.13,0.057
1,4,11,1,3,2,4,6,27,23,8,10,0.264,0.213,0.053
5,13,2,6,19,6,13,0,7,14,0,15,0.384,0.384,0.031
22,11,10,3,4,6,3,28,0,1,8,4,0.393,0.15,0.085
7,1,6,8,9,31,4,10,1,1,1,21,0.19,0.048,0.011
2,2,0,13,5,5,10,14,25,0,22,2,0.151,0.061,0.039
3,3,9,7,28,9,3,13,0,6,19,0,0.096,0.055,0.045
1,0,13,7,11,0,2,11,37,4,5,9,0.179,0.142,0.055
9,9,2,4,25,13,18,5,2,7,6,0,0.133,0.078,0.051
0,4,31,8,0,1,26,2,9,13,2,4,0.212,0.167,0.057
25,1,3,17,2,0,9,0,14,5,11,13,0.276,0.214,0.034
11,0,10,6,8,0,20,17,5,3,5,15,0.55,0.319,0.077
4,9,1,23,7,1,2,3,35,9,4,2,0.145,0.024,0.004
0,0,36,4,1,12,7,3,12,4,13,8,0.196,0.111,0.038
6,28,11,0,1,6,2,20,9,0,6,11,0.196,0.128,0.05
10,5,6,15,0,1,6,3,10,4,19,21,0.524,0.463,0.071
5,16,10,17,2,2,2,12,9,7,8,10,0.169,0.105,0.049
9,8,9,1,0,6,18,9,25,6,6,3,0.16,0.115,0.052
0,22,16,0,23,1,6,9,0,2,12,9,0.471,0.459,0.026
3,4,12,2,2,9,27,10,7,23,1,0,0.4,0.167,0.069
0,1,16,1,14,16,23,5,17,1,6,0,0.213,0.077,0.007
19,2,4,7,7,25,0,12,12,4,6,2,0.134,0.066,0.043
0,2,2,0,7,22,8,20,1,23,5,10,0.119,0.065,0.045
7,5,12,12,8,2,9,1,2,17,17,8,0.187,0.146,0.058
12,14,6,14,19,10,9,1,10,1,2,2,0.109,0.074,0.051
6,2,12,8,5,6,6,27,4,3,19,2,0.091,0.072,0.054
1,3,5,2,0,1,5,7,31,25,7,13,0.31,0.243,0.027
3,13,11,9,2,20,28,7,1,0,2,4,0.367,0.15,0.073
25,5,2,0,14,4,13,2,4,4,24,3,0.401,0.197,0.011
11,10,16,16,0,14,11,1,9,7,0,5,0.166,0.072,0.041
