100.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,1.654,1.525,0.146
0.0 ,100.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.669,0.45,0.037
0.0 ,0.0 ,100.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.353,0.239,0.035
0.0 ,0.0 ,0.0 ,100.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.177,0.136,0.084
0.0 ,0.0 ,0.0 ,0.0 ,100.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.099,0.048,0.044
0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,100.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,3,3,2.125
0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,100.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.314,0.276,0.044
0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,100.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.064,0.042,0.029
0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,100.0 ,0.0 ,0.0 ,0.0 ,0.394,0.198,0.074
0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,100.0 ,0.0 ,0.0 ,0.254,0.071,0.002
0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,100.0 ,0.0 ,0.839,0.773,0.068
0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,100.0 ,0.09,0.047,0.039
4.0 ,26.0 ,0.0 ,25.0 ,5.0 ,1.0 ,4.0 ,12.0 ,4.0 ,0.0 ,8.0 ,11.0 ,0.262,0.145,0.065
34.0 ,5.0 ,6.0 ,2.0 ,2.0 ,6.0 ,11.0 ,0.0 ,7.0 ,0.0 ,7.0 ,20.0 ,0.777,0.711,0.072
15.0 ,16.0 ,4.0 ,10.0 ,10.0 ,7.0 ,4.0 ,16.0 ,9.0 ,1.0 ,3.0 ,5.0 ,0.117,0.07,0.05
13.0 ,4.0 ,26.0 ,4.0 ,9.0 ,6.0 ,3.0 ,10.0 ,6.0 ,8.0 ,5.0 ,6.0 ,0.157,0.111,0.027
5.0 ,2.0 ,14.0 ,9.0 ,4.0 ,3.0 ,2.0 ,3.0 ,5.0 ,11.0 ,3.0 ,39.0 ,1.382,1.435,0.102
6.0 ,5.0 ,1.0 ,2.0 ,19.0 ,10.0 ,6.0 ,2.0 ,23.0 ,2.0 ,0.0 ,24.0 ,0.996,0.919,0.029
