0,50,0,0,40,0,0,10,0.584,0.628
12,7,4,2,39,15,19,2,0.196,0.263
4,0,10,18,39,9,16,3,0.271,0.334
4,0,10,18,39,9,16,3,0.246,0.315
7,2,26,6,39,1,8,11,0.94,1.176
7,2,26,6,39,1,8,11,0.99,1.331
13,5,4,9,39,5,21,4,0.326,0.503
1,22,8,4,38,16,7,4,0.311,0.303
4,12,17,3,38,16,9,1,0.458,0.496
3,1,9,8,36,32,11,0,0.29,0.26
14,4,9,7,36,12,4,14,1.446,1.813
6,11,17,2,36,7,5,16,1.045,1.987
2,2,12,21,35,12,8,8,0.372,0.417
40,0,13,0,35,0,0,12,1.373,1.55
11,25,0,14,35,10,5,0,0.161,0.197
12,1,15,15,35,0,20,2,0.257,0.736
5,23,0,0,34,16,7,15,0.596,1.094
5,3,5,17,34,4,20,12,0.585,0.57
12,27,7,2,34,1,7,10,0.528,0.755
14,31,8,1,34,3,7,2,0.292,0.316
14,31,8,1,34,3,7,2,0.405,0.466
1,3,2,3,33,0,31,27,1.466,2.056
28,0,4,12,32,14,3,7,0.356,0.639
16,7,4,14,32,8,11,8,0.25,0.554
3,14,10,15,32,7,12,7,0.353,0.523
15,1,16,19,32,11,6,0,0.319,0.399
14,24,7,11,32,0,3,8,0.413,0.636
10,20,10,11,32,2,10,5,0.496,0.417
10,20,10,11,32,2,10,5,0.338,0.356
21,8,0,15,31,4,6,14,0.577,0.787
21,8,0,15,31,4,6,14,0.524,0.826
18,8,9,0,31,5,20,9,0.376,0.456
13,30,2,6,31,1,7,10,0.462,0.437
13,30,2,6,31,1,7,10,0.433,0.481
9,2,3,21,30,8,2,25,1.54,2.531
12,17,3,2,30,4,6,26,1.732,2.196
5,26,3,12,30,10,5,9,0.222,0.507
18,32,1,1,30,2,7,9,0.389,0.495
0,6,35,15,29,11,1,3,0.48,0.853
22,21,9,8,29,5,4,2,0.335,0.351
14,7,0,2,29,0,41,7,0.265,0.384
0,19,22,9,28,8,0,14,0.638,1.377
12,27,2,5,28,1,9,16,0.594,0.682
12,27,11,5,28,2,6,9,0.379,0.468
32,19,6,7,28,7,0,1,0.229,0.257
0,72,0,0,28,0,0,0,0.22,0.149
3,15,3,6,27,1,13,32,1.623,2.042
26,1,9,1,27,1,4,30,1.749,2.271
4,9,2,8,27,8,19,23,0.699,0.757
19,7,11,4,27,26,1,5,0.198,0.269
24,11,0,21,27,3,10,4,0.324,0.298
6,21,15,7,27,2,20,2,0.223,0.289
0,0,73,0,27,0,0,0,0.661,0.742
2,5,16,11,26,23,9,8,0.226,0.19
2,4,14,10,26,20,23,1,0.1,0.148
8,7,2,33,26,0,19,5,0.192,0.278
3,34,17,11,26,0,8,1,0.288,0.418
1,25,3,0,25,0,12,34,1.434,2.375
0,9,11,15,25,10,10,20,0.487,0.667
24,1,8,8,25,1,4,28,1.497,1.848
24,1,8,8,25,1,4,28,1.199,1.61
20,5,8,8,25,1,4,28,1.397,2.008
7,36,2,9,25,2,0,19,1.007,1.168
4,9,18,10,25,0,16,18,0.813,1.119
53,0,0,8,25,0,4,10,0.382,0.422
35,4,16,2,25,1,13,4,0.572,0.67
43,2,3,18,25,2,6,2,0.341,0.365
43,2,3,18,25,2,6,2,0.228,0.29
4,4,7,7,24,5,17,32,1.342,1.813
3,6,17,22,24,13,4,11,0.247,0.398
2,13,6,28,24,14,12,1,0.138,0.165
40,0,36,0,24,0,0,0,0.567,0.629
