x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,target_activity,control_activity,blank_activity,target_covar,control_covar,blank_covar
1.4177,0,0,0,13.075,2.7296,17.1026,0,9.0099,15.7183,0,41.947,3.381331511,2.850528124,0.066486032,0.056152143,0.052463704,0.000234431
9.9912,1.6596,1.7021,29.382,3.5855,6.1256,4.0601,31.4343,2.3402,4.1639,3.538,1.6163,0.462802896,0.373589176,0.054255732,0.37398398,0.431916829,0.000471898
0,0,0,0,12.7248,4.4643,18.8672,0,0,22.7248,0,42.219,3.165464639,2.677081309,0.059452041,0.088119605,0.09038956,0.000375044
5.5784,0,0,0,12.8305,0,13.0778,0,15.0698,10.6555,0,41.788,3.450087916,2.975517411,0.081834502,0.056833895,0.054382332,0.000116728
0,0,0,0,13.4306,0,15.019,0,12.314,11.949,6.6001,41.6873,3.350538597,2.839005748,0.085257885,0.050808723,0.046555826,0.000121593
7.6217,0,0,1.4133,12.5885,0,15.8409,0,14.8323,5.2267,0,41.4765,3.191759582,2.776547969,0.079598076,0.076676807,0.08015329,0.00012685
0,0,0,0,4.939,0,0,0,0,0,62.6104,33.4506,1.614283236,1.649764349,0.1059287,0.363257307,0.443785308,0.000774581
0,0,14.1212,1.3393,13.2773,0,0,0,20.5939,7.7416,0,41.9266,3.307273831,2.887435925,0.086401371,0.0480394,0.051446863,0.000137857
9.2582,11.6242,0,0,12.6056,0,15.4786,0,11.2054,0,0,40.828,3.030635007,2.744639679,0.076905765,0.104693904,0.110757275,0.000149979
0.8181,8.7023,9.1142,3.0276,10.0178,5.8467,7.0664,1.6577,1.4735,11.6739,4.4725,35.7661,2.22685067,2.736287484,0.055866401,0.089669021,0.096679396,0.000243538
7.0106,0,0,0,12.052,6.3021,15.2888,0,0,19.3034,0,41.0431,2.811666504,2.454846902,0.05292418,0.147043145,0.165133421,0.000367531
24.6677,1.948,1.5005,0.7421,6.2965,1.6043,13.1113,1.307,1.0288,11.7175,4.7049,31.5699,1.859515556,2.387367879,0.065112632,0.215164957,0.246573704,0.000165149
8.9394,13.855,12.3484,0,12.2232,0,0,0,0,0,14.5168,39.1172,3.080226606,3.100748029,0.090754078,0.129818658,0.155916881,0.000154047
0,0,0,0,15.0242,0,13.8374,0,14.0482,15.7788,0,42.3113,3.105638216,2.660773993,0.084717163,0.074145176,0.058980715,0.000134214
10.8044,0,18.5364,0,12.4919,5.557,0,0,0,0,16.3126,37.2976,2.818667824,2.923369015,0.069652318,0.166438761,0.207000518,0.000321108
22.856,0,0,13.6503,24.083,0,0,0,0,0,0,40.4107,2.360285993,2.738363163,0.098855899,0.287884511,0.296185223,0.000196045
35.0094,0,0,0,2.7442,0,0,3.8112,0,13.7922,11.8099,33.8332,1.788301174,2.318096373,0.084012792,0.321733831,0.347836295,0.000271713
12.3161,21.3995,5.8411,3.507,5.6941,1.5469,1.4759,1.5205,1.0924,2.3229,5.1052,38.6653,1.986997858,2.545360662,0.069924306,0.163380144,0.192860573,0.000183732
23.2444,30.243,0,0,10.2961,0,0,0,0,0,3.7803,33.4362,1.934509172,2.256721905,0.077370742,0.288866613,0.37131271,0.000319505
15.1081,4.4495,18.9438,3.2204,2.1164,0.56,15.6604,7.3456,24.3333,2.6681,5.2856,0.875,0.169556986,0.360648482,0.04636969,0.137660861,0.155524558,0.000284897
0,0,0,1.6297,13.2851,0,16.0338,0,16.5232,1.5116,9.2092,40.8074,3.100134176,2.6838181,0.083556551,0.060453926,0.061036621,0.000141058
2.663,8.6818,22.8498,20.0653,14.983,4.5334,7.4489,2.2943,3.7254,0.3843,7.5175,4.6687,0.128626109,0.029387926,0.051273065,0.196799959,0.237313848,0.000241569
9.497,12.0902,10.6614,0.3385,12.8099,3.0255,0,0,11.9985,0,0,40.5791,2.764825199,2.466055767,0.067391392,0.11190857,0.123329717,0.000217657
13.4867,0,0,0,11.5803,9.6399,0,0,0,0,29.9422,36.3508,2.208494883,2.288000602,0.070874169,0.259790153,0.321426385,0.000459591
0,0,0,0,12.9332,1.1016,20.8551,0,4.7711,19.3723,0,41.9666,3.588898428,3.098431581,0.074974211,0.044250516,0.039135232,0.000192424
12.0993,8.5757,4.7733,0,12.4529,1.1116,0,0,0,0,24.2572,37.73,2.828663356,3.014291404,0.089388973,0.17483989,0.203153224,0.000187868
37.636,0,0,0,0,0,0,10.4735,0,0,16.7113,36.1792,1.385065571,1.766052444,0.087367421,0.418826724,0.485335085,0.000358215
0,0,0,0,11.9463,0,0,31.1687,0,0,0,57.885,2.67050041,2.752249023,0.11721994,0.296190149,0.342276932,0.000421812
11.2634,0,27.8649,0,12.3395,0,0,0,0,9.8095,0,39.7226,3.080552087,2.991920118,0.088194841,0.135639468,0.146935951,0.00016972
0.9689,17.5129,16.831,4.4171,12.2847,3.271,1.8536,0.1758,2.2833,2.1661,4.8214,32.9584,2.108334257,2.543282446,0.06502822,0.117588938,0.145361936,0.000214697
7.4009,15.5837,0,0,13.2912,0,0,0,0,0,26.4461,38.2782,2.573104513,2.673723007,0.096582942,0.173777635,0.203649725,0.000236041
13.7712,7.7922,7.9197,1.9822,27.58,9.0429,9.2873,2.9636,1.8022,4.6336,4.8489,7.6308,0.797147675,0.760750941,0.052793765,0.136554624,0.148363852,0.000295963
0,0,0,1.7765,12.7495,0,21.573,0,0,21.9512,0,42.9498,3.380197194,2.960153731,0.083581304,0.0437977,0.045311687,0.000198413
0,28.4388,0,0,10.2174,0,0,0,0,0,27.0342,35.3095,2.446937835,2.795646366,0.090031876,0.193743155,0.25254166,0.000348461
14.3453,10.9025,25.1279,0,12.0744,0,0,0,0,0,0,38.55,2.761510245,2.748689683,0.083957346,0.179111116,0.200730649,0.000184928
6.7512,0,34.2127,1.5045,12.9736,5.4161,0,0,1.0754,0,0,39.0666,2.7996543,2.644063947,0.063412026,0.137172202,0.165371634,0.000417224
8.7126,0,0,2.3454,12.0226,3.9779,16.6306,0,0,11.3108,5.4782,40.522,2.787603854,2.512110955,0.063290114,0.120714321,0.137920103,0.000259344
0,0,16.1367,0,13.3537,5.1357,0,0,3.3137,21.2234,0,41.8369,2.963814901,2.594343737,0.064904177,0.107570897,0.117935708,0.000355883
0,0,0,0,12.679,3.0951,9.7598,0,0,32.3008,0,43.1653,3.214262824,2.844367063,0.070988699,0.070894788,0.073431664,0.000325584
8.2538,18.9793,0,0,10.845,4.0969,0,0,0,0,23.9802,34.8447,2.69189864,3.060251589,0.071160306,0.176652111,0.219247561,0.000320102
0,0,17.8256,2.5401,13.5612,0,0,0,19.1013,5.663,0,42.3088,2.976778887,2.596854722,0.086681225,0.066307144,0.075156291,0.000143236
16.8996,0,0,2.9938,12.6104,5.6914,0,0,0,0,25.8823,36.9226,2.300823093,2.446473471,0.074372213,0.226909412,0.265393288,0.000362679
14.8831,0,5.3719,0,12.2848,7.887,0,0,0,11.1771,15.8253,33.5707,2.417889183,2.685623289,0.061177186,0.21279995,0.251861027,0.000295935
0,0,0,10.2273,7.8875,0,0,23.1503,0,0,0,59.735,1.45133668,1.492103636,0.109177817,0.474820115,0.607990691,0.000324726
22.4066,34.2273,0,0,8.9928,0,0,0,0,0,0,35.3734,1.952995399,2.260288281,0.074730064,0.296313428,0.394240298,0.000376606
26.715,19.2375,0,5.6619,7.1678,0,0,0,0,0,6.6748,35.543,1.861381852,2.149573586,0.079304758,0.2474784,0.311893547,0.000238138
6.3348,0,0,0,12.1427,3.0838,26.948,0,0,11.8071,0,40.6835,3.31755868,2.990259606,0.059996526,0.092026576,0.101393121,0.000318194
32.1911,0,0,0,7.2937,0,0,10.1003,0,15.6647,1.57,34.1803,1.66724212,1.954124377,0.087533002,0.295433839,0.358198985,0.000240553
5.3724,14.6965,0,0,12.2774,9.5749,0,0,0,0,25.3477,33.7312,2.396426603,2.660590176,0.065671778,0.215152289,0.281938145,0.000399235
4.6818,9.7285,12.0742,0.5472,12.8224,2.0294,9.2815,0,9.3699,0,0,40.4649,3.319313933,3.017009568,0.069006897,0.066577701,0.071971588,0.000159494
0,0,18.4179,0,30.7769,51.8052,0,0,0,0,0,0,1.438863796,1.433676278,0.926333188,0.482928093,0.61137347,0.010175495
1.3743,0,0,14.8326,24.1752,0,0,0,0,19.779,0,40.8389,2.235477776,2.623007557,0.10247115,0.257674335,0.276606138,0.000189149
10.0572,14.4603,0,0,12.4012,0,0,4.0722,0,0,22.5685,37.4405,2.889303033,3.123300212,0.095957103,0.153475426,0.18067829,0.000193897
8.1272,0,10.3706,1.1151,11.9155,0,22.705,0,2.7957,3.5074,0,40.4635,3.370225697,3.161954917,0.077454035,0.089053365,0.098520606,0.000160785
0,7.2214,0,0,15.197,0,15.822,0,10.3904,7.1545,3.8226,41.3921,2.932237246,2.522773718,0.083444604,0.074257575,0.067204214,0.000128312
0,0,0,6.2733,15.4264,0,0,20.9075,0,0,0,58.3928,2.234146416,2.180734416,0.113734676,0.301954193,0.38873433,0.000272723
31.7426,23.7404,0,4.6359,5.9194,0,0,1.3028,0,0,0,33.6589,1.555993675,1.821708502,0.073712955,0.306565045,0.379369102,0.00032507
17.1592,0,6.8922,0,11.4844,7.1938,0,0,0,0,23.3282,34.9421,2.508311709,2.729133017,0.067714777,0.221961429,0.265083142,0.000357418
13.2778,0,0,2.0127,11.6499,0,33.8445,0,0,0,0,40.2151,2.69542736,2.559165638,0.072617145,0.145495531,0.168574978,0.000299706
13.8757,21.4388,15.6304,0,12.3381,0,0,0,0,0,0,37.717,2.60709306,2.687388265,0.081687645,0.189860028,0.218692759,0.000206839
4.2649,7.6212,7.3368,1.3506,13.8831,6.0458,4.7037,2.2425,2.1823,6.5906,10.3899,33.9307,2.764415603,3.258045131,0.06224044,0.056411159,0.062958749,0.000224832
8.0941,30.1242,3.5984,0.4624,10.5284,1.9263,0.5626,10.5187,4.0075,2.9987,13.9533,13.2841,0.431065129,0.615912071,0.06535118,0.223252946,0.253627973,0.000233806
0,0,0,10.6851,0,0,0,0,0,46.6798,0,43.6351,1.628984428,1.701272173,0.085778544,0.344704713,0.370142191,0.000344431
13.3653,21.8348,0,0,10.969,0,0,0,0,0,15.4212,39.4097,2.640952791,2.71943982,0.088581702,0.190105011,0.228964994,0.000219473
8.6234,0,0,0,12.4725,0,13.9256,0,0,24.4905,0,41.4879,3.306138046,3.04127177,0.085856312,0.092592609,0.091564876,0.00015505
9.4551,1.0634,1.0465,1.4569,3.8975,1.5412,1.2934,15.4081,16.25,6.7863,38.9644,2.3773,0.324390634,0.250792182,0.07357463,0.214519155,0.240373114,0.000381352
0.3638,33.0667,10.9192,3.4491,3.9699,19.3316,1.1832,1.087,11.6711,2.8196,0.6476,12.1048,0.251583198,0.351296714,0.027667279,0.225259022,0.274333021,0.000694591
14.1098,0,15.9129,0,12.3234,0,0,0,0,0,21.5043,37.1495,2.946267829,3.211935006,0.095620779,0.177192929,0.208548394,0.000177277
0,0,0,21.2837,30.5168,0,0,0,0,0,12.8975,36.302,1.317841046,1.383113198,0.109596353,0.428420097,0.490210601,0.000279876
0.0813,6.0955,0,0,12.2741,10.8807,0,2.1485,0,0,34.911,34.6089,2.104708718,2.250969889,0.074241243,0.250022492,0.314006454,0.000534361
3.1833,0,0,0.6594,13.325,0,24.5404,3.3471,8.0283,0,7.5072,40.4094,3.183177231,2.936921802,0.082062928,0.060596843,0.06145179,0.000176223
0,0,0,0,3.0211,0,0,41.2215,0,0,0,56.7575,1.21732243,1.408748691,0.116066297,0.492166045,0.632494482,0.000675146
16.2134,13.4323,1.7377,1.1889,5.2235,1.2293,2.2026,1.5716,3.6578,2.9489,17.9297,31.9181,1.915692398,2.551689616,0.07441445,0.164892069,0.192823398,0.000153439
10.6884,0,24.3653,1.9319,12.278,1.5266,0,0,0,0.8716,10.664,38.6742,3.000972322,3.005038407,0.082955042,0.131712215,0.15728027,0.000175213
15.6291,0.3939,1.8827,0,13.2662,2.6488,0,0,0,0,30.099,37.0802,2.518412686,2.768982831,0.086733874,0.217987324,0.240413826,0.000303411
26.9289,0,0,0,10.517,0,0,9.2991,0,19.4906,0.5062,34.2581,1.811373221,2.075059292,0.090219491,0.252539001,0.301226827,0.000200304
20.8724,35.5921,0,1.7464,4.1664,0,0,0,0,0,0,38.6228,1.713706078,2.160853314,0.071913548,0.314551526,0.399110825,0.000410414
17.9348,2.3807,5.4534,1.8165,1.1044,0.9657,7.3225,7.0827,2.9569,7.8954,7.5155,37.7248,1.550396397,1.961999523,0.073885962,0.242399484,0.263636941,0.000130871
15.688,0,12.5337,0,9.4397,0,0,0,0,0,23.9331,39.4056,2.554561739,2.841030614,0.095291786,0.182183443,0.214941544,0.000194947
17.634,19.1417,7.666,0,11.9787,11.3305,0,0,0,0.0897,0,33.1594,1.697137355,1.765637289,0.051549533,0.286137248,0.346786308,0.000388364
2.9009,17.6503,7.1167,0,11.0899,8.5092,0,0,0,0,17.6836,36.0494,2.49960476,2.752977392,0.061523669,0.173547793,0.224651858,0.000354849
3.8926,0,0,0,13.4805,5.6614,22.7649,1.2241,13.1701,0,0,40.8064,2.790046364,2.417102905,0.053144816,0.103032795,0.109477474,0.000368375
6.9059,0,34.5436,0,12.934,8.8194,0.3383,0,0,0,0,37.4588,2.441232744,2.402018151,0.057903825,0.193996787,0.259133458,0.000485208
1.4762,0,14.3965,0,15.6207,14.4388,0,0,0,18.2414,5.3879,31.4384,1.776633664,1.979406884,0.051449426,0.256813593,0.339551752,0.000533229
