x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,GFP_activity,IFN_activity,GFP_covar,IFN_covar
8.1426,0.0,0.0,20.4444,25.4745,0.0,0.0,0.0,0.0,0.0,0.0,46.9384,2.121470821315741,2.4658637043512694,0.34496094610632766,0.5117508670556741
0.0,31.4922,0.0,0.0,10.5473,0.0,0.0,0.0,0.0,17.8086,0.0,41.1519,2.533846291152369,2.693977230389903,0.2987851674096367,0.3983652828135408
0.0,0.0,0.0,0.0,6.2853,0.0,0.0,0.0,32.3675,20.8137,0.0,41.5335,2.805846377357708,2.87884940352106,0.24812529247250675,0.2656405071283059
0.0,0.0,46.8537,0.0,8.4913,0.0,0.0,0.0,0.0,3.2123,0.0,42.4427,2.975566879008659,3.0308691450246696,0.2343024568634512,0.2213439629110234
0.0,0.0,0.0,0.0,9.3622,0.0,0.0,0.0,0.0,54.0068,0.0,37.631,3.2412957654265533,3.007508033102974,0.49289971333452776,0.4124882997453238
0.0,0.0,0.0,10.5129,10.0602,0.0,0.0,0.0,0.0,38.1117,0.0,42.3152,2.71161454663737,2.6692702852815424,0.37062637280156896,0.4471802133583212
0.0,0.0,0.0,0.0,10.6515,0.0,7.8537,0.0,47.476,0.0,0.0,35.0188,2.710347800220754,2.6265198577093365,0.32783134386590373,0.29030741151397277
0.0,0.0,0.0,0.0,9.6609,0.0,0.0,14.0722,0.0,34.9044,0.0,42.3625,2.9669330519307007,2.9317218313712825,0.303242933940363,0.2660650760408359
0.0,0.0,0.0,0.0,3.4422,0.0,51.4995,2.8107,0.0,3.1749,0.0,40.0727,2.251505537633394,2.1529476818843705,0.31842704789287474,0.4053590703442922
0.0,0.0,0.0,0.0,4.4104,0.0,0.0,2.3139,0.0,53.4356,0.0,40.8401,2.755904295891197,2.6179681642340853,0.42708470402133425,0.38669036633785403
0.0,0.0,12.5966,0.0,10.384,0.0,1.5575,0.9371,0.0,0.0,42.4656,33.059,2.13515963128534,1.8862215124537334,0.4656615571327467,0.44397386217988744
0.0,0.0,0.0,0.0,6.0925,0.0,0.0,0.0,16.0065,42.8128,0.0,36.0882,2.6111053436803777,2.4121827531979885,0.4310876889100139,0.37819526634203615
0.0,0.0,7.3817,0.0,0.438,0.0,0.0,0.0,7.7178,42.5174,0.0,42.9452,1.7663883564782745,1.747732425876115,0.39906162627892694,0.485599406988617
0.0,0.0,0.0,7.925,10.7962,0.0,0.0,0.0,0.0,40.2809,0.0,41.9979,3.1675245919280903,3.079421612779541,0.3237030957185076,0.37062728160491776
0.0,0.0,0.0,0.0,5.4588,0.0,31.599,6.1298,0.0,16.2976,0.0,41.5147,2.907857497893965,2.787475179444038,0.25980355205463523,0.30382125581122404
0.0,0.0,0.0,0.0,11.3302,0.0,0.0,0.0,0.0,54.2776,0.0,35.3922,2.9239467780521724,2.6246346926831787,0.5185384043863815,0.44190200852027295
9.4662,0.0,0.0,12.2108,33.3749,0.0,0.0,0.0,0.0,0.0,0.0,45.9481,1.9937801404418196,2.1152151543613034,0.4563097489794904,0.4653177899910894
0.0,15.6958,1.2598,0.0,10.8182,0.0,0.0,0.0,14.106,14.7363,0.0,42.3839,3.0016301694688057,3.190785151395585,0.14131866022989664,0.17220520366996137
0.0,0.0,0.0,0.0,3.4345,0.0,0.0,13.5389,0.0,40.77,0.0,43.2566,2.1207741897822334,2.0712800743773974,0.429408673123892,0.42597994162451663
0.0,0.0,0.0,7.8118,12.0235,0.0,13.2173,0.0,29.1798,0.0,0.0,38.7676,3.093185072815633,2.9230969699416693,0.23226134136639812,0.2483579358048164
