x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,GFP_activity,IFN_activity,GFP_covar,IFN_covar
14.1885,0.0,0.0,21.4964,12.4003,0.0,0.2922,0.0,0.0,0.0,5.8534,46.7692,2.607725849760291,2.6118356465892596,0.3697923116180741,0.1825276478266798
22.7262,0.0,0.0,0.0,11.5174,0.0,9.9234,0.0,0.0,0.0,6.905,49.928,2.545409956735337,2.4214335722174214,0.4329599596111242,0.2880263835523183
0.0,0.0,0.0,31.5895,15.0629,0.0,5.7734,0.0,0.0,0.0,5.3236,43.2506,2.408872875650683,2.4406086563225413,0.4411646784171141,0.19234848190383833
0.0,0.0,0.0,0.0,14.2693,0.0,31.4177,0.0,0.0,0.0,8.1134,47.1996,2.6746426738547937,2.397675026626822,0.3437713121113307,0.2419944053529501
44.1993,0.0,0.0,0.0,12.3254,0.0,0.0,0.0,0.0,0.0,1.8988,42.5765,2.9441960611791793,2.550768578368605,0.3993625069460767,0.2729965984206458
9.5207,0.0,0.0,35.5401,13.1585,0.0,0.0,0.0,0.0,0.0,0.0,42.7807,2.4169090628726932,2.5629277569672713,0.48178796135107177,0.1541353540952572
17.6249,0.0,0.0,23.7314,15.7366,0.0,0.0,0.0,0.0,0.0,0.0,43.9072,2.7924847270433153,2.5216666780754355,0.3716938574694533,0.21039632108711467
12.4652,0.0,0.0,0.0,13.3231,0.0,15.8045,0.0,0.0,0.0,5.294,54.1132,2.1157685541579068,2.0173779839801274,0.6170893498886237,0.3972853259993148
0.0,0.0,0.0,24.7323,16.9242,0.0,0.0,0.0,0.0,0.0,18.7688,40.5747,2.4649659722278616,2.2322248400580165,0.3734481562992376,0.24552880691927176
13.5336,6.1841,0.0,0.0,19.6754,0.0,10.7637,0.0,0.0,0.0,11.5711,39.2721,2.929485291790634,2.2118230826602563,0.41372090851989873,0.3149429288737427
32.4717,0.0,0.0,0.0,15.5632,0.0,0.0,0.0,0.0,0.0,0.0,52.9652,2.2145351369588147,1.920261742805185,0.6375488505582774,0.3963766676911348
