x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,,PEG,IFN,HSA,,IFN-PEG,HSA-PEG
4,13,0,10,2,1,2,29,12,1,0,26,,0.083,0.726,0.483,,0.643,0.4
20,0,6,1,3,19,2,8,2,14,20,5,,0.047,0.135,0.069,,0.088,0.022
0,0,1,11,5,7,5,6,15,1,35,14,,0.06,0.213,0.139,,0.153,0.079
0,6,9,0,5,1,11,12,11,38,7,0,,0.053,0.175,0.124,,0.122,0.071
27,2,1,9,21,0,9,2,11,7,10,1,,0.061,0.232,0.175,,0.171,0.114
14,16,11,6,9,3,2,10,13,5,9,2,,0.022,0.118,0.09,,0.096,0.068
7,19,6,18,19,6,0,7,0,8,0,10,,0.08,0.427,0.166,,0.347,0.086
3,17,4,20,1,5,6,0,2,14,16,12,,0.024,0.289,0.102,,0.265,0.078
5,2,1,34,19,9,0,0,1,16,10,3,,0.05,0.142,0.066,,0.092,0.016
7,13,8,7,5,3,3,11,29,10,3,1,,0.044,0.141,0.083,,0.097,0.039
25,4,7,1,9,5,1,31,0,2,0,15,,0.061,0.238,0.133,,0.177,0.072
6,17,4,4,3,9,32,1,4,12,8,0,,0.046,0.155,0.096,,0.109,0.05
14,7,7,13,11,9,2,0,0,25,3,9,,0.052,0.143,0.091,,0.091,0.039
4,33,4,7,5,0,18,6,5,7,7,4,,0.029,0.232,0.178,,0.203,0.149
