x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,,PEG,IFN,HSA,,IFN-PEG,HSA-PEG
100,0,0,0,0,0,0,0,0,0,0,0,,0.146,1.654,1.525,,1.508,1.379
0,100,0,0,0,0,0,0,0,0,0,0,,0.037,0.669,0.45,,0.632,0.413
0,0,100,0,0,0,0,0,0,0,0,0,,0.035,0.353,0.239,,0.318,0.204
0,0,0,100,0,0,0,0,0,0,0,0,,0.084,0.177,0.136,,0.093,0.052
0,0,0,0,100,0,0,0,0,0,0,0,,0.044,0.099,0.048,,0.055,0.004
0,0,0,0,0,100,0,0,0,0,0,0,,2.125,( + ),( + ),,#VALUE!,#VALUE!
0,0,0,0,0,0,100,0,0,0,0,0,,0.044,0.314,0.276,,0.27,0.232
0,0,0,0,0,0,0,100,0,0,0,0,,0.029,0.064,0.042,,0.035,0.013
0,0,0,0,0,0,0,0,100,0,0,0,,0.074,0.394,0.198,,0.32,0.124
0,0,0,0,0,0,0,0,0,100,0,0,,0.002,0.254,0.071,,0.252,0.069
0,0,0,0,0,0,0,0,0,0,100,0,,0.068,0.839,0.773,,0.771,0.705
0,0,0,0,0,0,0,0,0,0,0,100,,0.039,0.09,0.047,,0.051,0.008
4,26,0,25,5,1,4,12,4,0,8,11,,0.065,0.262,0.145,,0.197,0.08
34,5,6,2,2,6,11,0,7,0,7,20,,0.072,0.777,0.711,,0.705,0.639
15,16,4,10,10,7,4,16,9,1,3,5,,0.05,0.117,0.07,,0.067,0.02
13,4,26,4,9,6,3,10,6,8,5,6,,0.027,0.157,0.111,,0.13,0.084
5,2,14,9,4,3,2,3,5,11,3,39,,0.102,1.382,1.435,,1.28,1.333
6,5,1,2,19,10,6,2,23,2,0,24,,0.029,0.996,0.919,,0.967,0.89
12,44,4,0,5,9,4,6,2,0,13,1,,0.043,0.176,0.075,,0.133,0.032
11,9,4,0,2,17,5,2,23,3,1,23,,0.061,0.546,0.48,,0.485,0.419
5,27,2,3,29,3,7,8,2,3,1,10,,0.063,0.331,0.215,,0.268,0.152
19,3,2,1,0,24,5,20,18,3,0,5,,0.052,0.12,0.088,,0.068,0.036
3,1,8,3,19,19,11,21,5,2,1,7,,0.06,0.121,0.091,,0.061,0.031
12,1,17,17,5,11,1,8,5,3,8,12,,0.029,0.083,0.057,,0.054,0.028
2,10,4,5,27,22,1,16,3,1,8,1,,0.072,0.351,0.132,,0.279,0.06
12,3,7,0,17,1,26,11,6,9,7,1,,0.01,0.323,0.136,,0.313,0.126
6,11,0,0,0,20,21,3,3,8,22,6,,0.04,0.191,0.081,,0.151,0.041
0,20,2,3,22,12,0,12,13,10,6,0,,0.052,0.126,0.089,,0.074,0.037
10,7,10,30,8,5,1,19,5,2,3,0,,0.055,0.081,0.062,,0.026,0.007
4,19,0,10,2,8,10,10,2,5,22,8,,0.062,0.154,0.088,,0.092,0.026
11,7,3,5,4,10,1,3,2,16,23,15,,0.062,0.241,0.156,,0.179,0.094
1,1,1,0,5,31,12,7,4,5,11,22,,0.037,0.105,0.068,,0.068,0.031
9,0,4,9,3,0,0,6,12,13,23,21,,0.109,1.126,0.87,,1.017,0.761
2,0,0,11,1,7,28,24,16,1,8,2,,0.003,0.198,0.025,,0.195,0.022
3,9,4,16,8,14,5,5,1,7,9,19,,0.044,0.219,0.088,,0.175,0.044
0,2,11,2,0,0,9,14,0,6,37,19,,0.119,1.287,1.485,,1.168,1.366
4,7,2,2,12,1,3,6,1,13,37,12,,0.074,0.514,0.455,,0.44,0.381
14,3,1,3,8,11,2,15,1,23,1,18,,0.057,0.215,0.13,,0.158,0.073
1,4,11,1,3,2,4,6,27,23,8,10,,0.053,0.264,0.213,,0.211,0.16
5,13,2,6,19,6,13,0,7,14,0,15,,0.031,0.384,0.384,,0.353,0.353
22,11,10,3,4,6,3,28,0,1,8,4,,0.085,0.393,0.15,,0.308,0.065
7,1,6,8,9,31,4,10,1,1,1,21,,0.011,0.19,0.048,,0.179,0.037
2,2,0,13,5,5,10,14,25,0,22,2,,0.039,0.151,0.061,,0.112,0.022
3,3,9,7,28,9,3,13,0,6,19,0,,0.045,0.096,0.055,,0.051,0.01
1,0,13,7,11,0,2,11,37,4,5,9,,0.055,0.179,0.142,,0.124,0.087
9,9,2,4,25,13,18,5,2,7,6,0,,0.051,0.133,0.078,,0.082,0.027
0,4,31,8,0,1,26,2,9,13,2,4,,0.057,0.212,0.167,,0.155,0.11
25,1,3,17,2,0,9,0,14,5,11,13,,0.034,0.276,0.214,,0.242,0.18
11,0,10,6,8,0,20,17,5,3,5,15,,0.077,0.55,0.319,,0.473,0.242
4,9,1,23,7,1,2,3,35,9,4,2,,0.004,0.145,0.024,,0.141,0.02
0,0,36,4,1,12,7,3,12,4,13,8,,0.038,0.196,0.111,,0.158,0.073
6,28,11,0,1,6,2,20,9,0,6,11,,0.05,0.196,0.128,,0.146,0.078
10,5,6,15,0,1,6,3,10,4,19,21,,0.071,0.524,0.463,,0.453,0.392
5,16,10,17,2,2,2,12,9,7,8,10,,0.049,0.169,0.105,,0.12,0.056
9,8,9,1,0,6,18,9,25,6,6,3,,0.052,0.16,0.115,,0.108,0.063
0,22,16,0,23,1,6,9,0,2,12,9,,0.026,0.471,0.459,,0.445,0.433
3,4,12,2,2,9,27,10,7,23,1,0,,0.069,0.4,0.167,,0.331,0.098
0,1,16,1,14,16,23,5,17,1,6,0,,0.007,0.213,0.077,,0.206,0.07
19,2,4,7,7,25,0,12,12,4,6,2,,0.043,0.134,0.066,,0.091,0.023
0,2,2,0,7,22,8,20,1,23,5,10,,0.045,0.119,0.065,,0.074,0.02
7,5,12,12,8,2,9,1,2,17,17,8,,0.058,0.187,0.146,,0.129,0.088
12,14,6,14,19,10,9,1,10,1,2,2,,0.051,0.109,0.074,,0.058,0.023
6,2,12,8,5,6,6,27,4,3,19,2,,0.054,0.091,0.072,,0.037,0.018
1,3,5,2,0,1,5,7,31,25,7,13,,0.027,0.31,0.243,,0.283,0.216
3,13,11,9,2,20,28,7,1,0,2,4,,0.073,0.367,0.15,,0.294,0.077
25,5,2,0,14,4,13,2,4,4,24,3,,0.011,0.401,0.197,,0.39,0.186
11,10,16,16,0,14,11,1,9,7,0,5,,0.041,0.166,0.072,,0.125,0.031
17,3,4,0,2,15,9,8,6,26,7,3,,0.042,0.123,0.074,,0.081,0.032
11,6,4,4,3,24,14,4,1,6,12,11,,0.052,0.149,0.088,,0.097,0.036
0,27,7,10,1,17,1,3,7,9,2,16,,0.049,0.148,0.083,,0.099,0.034
12,0,12,0,24,1,10,1,16,3,6,15,,0.06,0.76,0.92,,0.7,0.86
8,7,1,2,2,7,4,15,9,0,38,7,,0.028,0.147,0.11,,0.119,0.082
5,0,16,0,1,3,0,1,5,38,26,5,,0.087,0.515,0.277,,0.428,0.19
2,0,7,0,3,8,24,3,46,1,0,6,,0.01,0.278,0.129,,0.268,0.119
43,7,6,0,18,8,2,0,4,4,3,5,,0.062,0.507,0.375,,0.445,0.313
8,17,5,1,13,3,15,0,3,1,16,18,,0.062,0.759,0.837,,0.697,0.775
5,0,42,10,6,0,0,3,1,0,11,22,,0.066,0.524,0.472,,0.458,0.406
20,12,6,10,1,1,7,6,5,1,3,28,,0.085,0.995,0.966,,0.91,0.881
6,5,2,6,7,17,16,5,6,5,12,13,,0.061,0.198,0.116,,0.137,0.055
0,1,2,1,1,2,4,24,46,3,3,13,,0.023,0.174,0.154,,0.151,0.131
7,7,17,10,8,12,21,5,3,2,5,3,,0.078,0.367,0.152,,0.289,0.074
0,3,8,14,5,23,7,4,1,16,13,6,,0.011,0.158,0.03,,0.147,0.019
