x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,,PEG,IFN,HSA,,IFN-PEG,HSA-PEG
2,10,1,2,13,7,10,5,2,8,7,33,,0.154,2.682,( + ),,2.528,#VALUE!
1,10,0,1,8,22,21,7,4,14,6,6,,0.051,0.122,0.087,,0.071,0.036
8,7,0,17,0,5,3,2,9,19,12,18,,0.061,0.341,0.251,,0.28,0.19
2,0,6,3,1,11,17,6,12,8,23,11,,0.03,0.315,0.313,,0.285,0.283
15,1,2,18,29,4,0,19,5,0,4,3,,0.087,0.117,0.103,,0.03,0.016
7,2,2,2,1,8,20,0,4,8,3,43,,0.046,0.693,0.737,,0.647,0.691
4,2,0,23,5,3,3,10,10,24,14,2,,0.052,0.13,0.08,,0.078,0.028
0,1,18,14,12,9,7,1,16,20,0,2,,0.043,0.141,0.101,,0.098,0.058
1,18,8,17,16,1,7,9,8,9,2,4,,0.051,0.205,0.15,,0.154,0.099
20,1,12,10,14,4,7,13,2,9,5,3,,0.053,0.198,0.13,,0.145,0.077
29,4,3,7,6,2,15,2,1,24,5,2,,0.061,0.436,0.425,,0.375,0.364
9,24,4,6,1,4,15,17,14,1,5,0,,0.026,0.198,0.169,,0.172,0.143
2,13,1,1,7,13,11,7,31,7,0,7,,0.084,0.333,0.326,,0.249,0.242
0,7,0,25,4,23,17,6,1,5,4,8,,0.012,0.045,0.046,,0.033,0.034
7,5,0,9,3,4,2,21,7,3,2,37,,0.083,0.925,0.74,,0.842,0.657
19,19,1,6,17,1,4,12,1,6,11,3,,0.055,0.366,0.267,,0.311,0.212
17,30,6,6,16,2,4,6,4,3,2,4,,0.059,0.362,0.305,,0.303,0.246
6,4,5,12,12,14,19,1,3,7,16,1,,0.051,0.117,0.085,,0.066,0.034
17,1,5,5,6,3,0,5,6,35,0,17,,0.069,0.637,0.679,,0.568,0.61
7,0,0,8,13,6,12,3,0,32,17,2,,0.025,0.233,0.193,,0.208,0.168
3,0,12,4,13,0,16,1,12,2,28,9,,0.097,0.823,1.033,,0.726,0.936
12,17,11,25,14,9,0,6,0,6,0,0,,0.011,0.041,0.027,,0.03,0.016
0,6,1,0,14,14,10,16,8,27,2,2,,0.055,0.191,0.149,,0.136,0.094
2,12,30,4,15,16,3,2,10,1,3,2,,0.049,0.276,0.286,,0.227,0.237
15,8,0,14,13,10,20,3,4,3,4,6,,0.051,0.187,0.149,,0.136,0.098
5,13,21,3,14,0,20,3,0,5,11,5,,0.055,0.633,0.801,,0.578,0.746
14,0,1,1,8,11,14,10,4,9,0,28,,0.093,1.202,1.487,,1.109,1.394
1,9,22,0,4,1,21,3,6,9,6,18,,0.041,0.795,1.231,,0.754,1.19
